product_id,url,product_name,brand,price,tier,weight_g,length_mm,width_mm,height_mm,feet_material,sensor_model,max_dpi,max_ips,max_acceleration_g,max_polling_rate,switch_type,connectivity,battery_max_hours,charging_port,is_rechargeable,button_count,is_gaming,hand_orientation,avg_rating,total_reviews,key_pros,key_cons,has_rgb,color,is_silent,switch_brand,has_multi_pairing,grip_type,housing_design,reviews
28887899,https://prod.danawa.com/info/?pcode=28887899&cate=112787,글로리어스 MODEL D 2 PRO 유무선,글로리어스,138990,B_detail_only,59,127,,42,세라믹,,26000,650,4,1000,광학,"유선,2.4GHz무선",1000,USB-C,Y,,Y,오른손잡이용,,,,,N,,N,,N,,대칭형,
27806564,https://prod.danawa.com/info/?pcode=27806564&cate=112787,글로리어스 MODEL I 2 유무선,글로리어스,139000,B_detail_only,59,129,,42,PTFE,,26000,650,50,1000,기계식,"유선,2.4GHz무선,블루투스",210,USB-C,Y,2,Y,오른손잡이용,,9,,,Y,,N,,N,,"대칭형,에르고",
69867458,https://prod.danawa.com/info/?pcode=69867458&cate=112787,글로리어스 MODEL O 2 Mini 유무선,글로리어스,139000,B_detail_only,57,120,,36,PTFE,,26000,650,50,1000,기계식,"유선,2.4GHz무선,블루투스",1000,USB-C,Y,6,N,오른손잡이용,,30,,,Y,,N,,Y,"팜그립,클로그립,핑거그립","대칭형,에르고",
72978722,https://prod.danawa.com/info/?pcode=72978722&cate=112787,프리플로우 archon MAGNOX SL PRO MINI 유무선,프리플로우,139000,B_detail_only,39,115.8,60.4,36.1,,PAW-3950,30000,3950,50,8000,기계식,"유선,2.4GHz무선,블루투스",1000,,Y,7,Y,,,6,,,N,,N,TTC,Y,"클로그립,핑거그립",에르고,
98766323,https://prod.danawa.com/info/?pcode=98766323&cate=112787,로지텍 MX Master 3S Bluetooth Edition (정품),로지텍,139000,C_reviews_only,,125,,51,,다크필드,,51,,,기계식,블루투스,,,Y,,N,오른손잡이용,5,1,,,N,블루,Y,,Y,,,[긍정] 컴터 연결에 애 좀 먹었으나 만족합니디
66047333,https://prod.danawa.com/info/?pcode=66047333&cate=112787,로지텍 MX ERGO S 무선 (정품),로지텍,141390,C_reviews_only,,,,,,,,,,,기계식,,,USB-C,,,N,오른손잡이용,4.8,10,"클릭감,가성비",,N,,Y,,N,,,[긍정] 일단 무소음이라 좋습니다 소음도 안나고 클릭감도 좋네요다만 휠은 무소음이 아닙니다 일반휠보다는 소리가좀 덜나긴하는데 소리가 나는편이에요유니파잉 지원 안합니다 1동글로 사용하시는분들 참고하세요 mx ergo는 지원하는데 s는 없네요각도 조절은 중간단계는 안됩니다충전 타입이 C인것도 마음에 듭니다 키보드랑 1동글로 사용하려고 k860제품이랑 같이 구매하였는데결
21574769,https://prod.danawa.com/info/?pcode=21574769&cate=112787,제닉스 TITAN GC WIRELESS 유무선,제닉스,141550,D_metadata_only,,120,,38.3,,PAW-3395,,1000,,1000,기계식,유선+무선,1000,,Y,,Y,오른손잡이용,,2,,,N,,N,칼화,Y,,,
32885231,https://prod.danawa.com/info/?pcode=32885231&cate=112787,Pulsar X2H eS 유무선,Pulsar,141550,D_metadata_only,,120,,39.5,,PAW-3395,,120,50,,,유선+무선,2,,Y,,N,,,,,,N,,N,,Y,,,
17679143,https://prod.danawa.com/info/?pcode=17679143&cate=112787,Pulsar X2 미니 무선 마우스,Pulsar,143000,B_detail_only,52,116,,36,,PAW-3395,26000,650,50,1000,기계식,"유선,2.4GHz무선",1000,USB-C,Y,6,Y,오른손잡이용,,,,,N,,N,"TTC,칼화",Y,핑거그립,대칭형,
15315590,https://prod.danawa.com/info/?pcode=15315590&cate=112787,CORSAIR M65 RGB ULTRA WIRELESS,CORSAIR,143510,B_detail_only,110,117,,39,PTFE,OPTICAL CORSAIR MARKSMAN,26000,39,50,2000,광학,"유선,2.4GHz무선,블루투스",120,USB-C,Y,8,Y,오른손잡이용,,3,,,Y,,N,옴론,N,,,
